Response,Estimates,(Intercept),DSI,EIC,MARS1,MARS2,MARS3,MARS4,E00200,E00300,E00600,E00800,E00900,E01100,E01400,E01500,E01700,E02100,E02300,E02400,E03150,E03210,E03240,E03270,E03300,E17500,E18400,E18500,E19200,E19800,E20100,E20400,E32800
0,Coefficients,2.16625616025495,1.0869863165834102,1.34068498984602,0.7294433389672941,-0.0608153512465916,0.39498534306057403,1.10264352842476,-8.274274800448191e-07,-2.77272743564625e-06,-1.4928561645518699e-06,-2.2716389160945603e-05,-1.00350480909103e-08,5.829342263705679,-1.6275213238193702e-06,-3.74075581701506e-07,-3.18966469681797e-07,1.61421683224719e-07,3.08123975632824e-05,-1.6063830912788097e-05,-4.98117009301231e-05,0.000754256480578375,-7.318322040667799e-08,-2.4463971156688e-05,-1.3188002463217501e-05,-6.8771963352914004e-06,-9.15427566267478e-07,-3.61580283449274e-05,8.41314939065666e-08,8.09479089756274e-08,-5.7384344297507905e-08,-4.92899656094483e-05,7.484050822556021e-05
0,Std Errors,2.63431864889208e-08,5.16122772164764e-12,3.11036606046135e-10,7.821891678349448e-09,1.80230141842594e-08,6.87797408839047e-11,6.19948853285733e-10,2.18435383978046e-08,1.7068056136916802e-07,1.07582159787952e-07,6.29345920086797e-06,3.61681399964724e-08,2.65563571349987e-15,1.47965920427642e-07,2.9972424872191104e-08,2.00491631111837e-07,1.2836584237606e-07,4.46581497741969e-06,7.3835797599763e-07,6.14436694304115e-06,4.15197637343904e-05,3.04613871188204e-07,1.8881242269278197e-06,7.186325615826591e-07,1.0609404335119e-06,1.3329472087507301e-07,9.7548722294706e-07,3.36832492519882e-07,1.08220000509761e-07,1.23208240164366e-07,1.15084753938618e-06,1.37227066021808e-05
0,T-Stats,82232123.32972759,210606153265.488,4310376861.70985,93256640.3324597,-3374316.33936711,5742757067.48127,1778604029.3174899,-37.879736559896294,-16.2451272330249,-13.8764286522443,-3.60952354435103,-0.277455464723624,2195083547819586.0,-10.9992984811341,-12.480657914621402,-1.5909216155953798,1.2575127482264299,6.89961355745319,-21.7561554625092,-8.10688902402511,18.1662035796613,-0.240249139414476,-12.956759310532,-18.3515236690268,-6.482170080488549,-6.86769558657495,-37.066634492340995,0.249772500500677,0.7479939807274921,-0.465750863911005,-42.8292748800921,5.453771649804599
1,Coefficients,-0.10083800172565802,0.251063434081617,-0.067670671741359,-0.0267271973666102,-0.0281921598219839,-0.0361530610607413,-0.00976548751733118,-1.04012308066339e-08,1.14452251065063e-07,-1.92279375784736e-08,-1.37609890183883e-05,-4.12047874949058e-08,-14.9166639100788,-2.25748943284052e-08,-2.27963480289631e-10,-1.81199272893125e-07,-7.30449242415208e-08,-5.2332809372432096e-06,-5.81154557063156e-06,7.811431729607221e-07,-7.866069154904871e-05,-3.3797320158330497e-07,4.1936890692734004e-06,-3.7303935936363e-07,-6.85666832936952e-07,-3.41569958200991e-08,-7.02829987837844e-07,5.235322781611979e-07,6.7839784622213e-09,3.27465847693675e-08,-1.6070972771639098e-07,6.49574347215547e-06
1,Std Errors,1.52868145805108e-08,3.0119117484050496e-12,1.68527026004116e-10,4.40275574192551e-09,1.065549384061e-08,3.96108428503529e-11,3.91717448551244e-10,7.218549646536021e-09,3.25540969127875e-08,1.69579156179182e-08,9.71474045817724e-06,3.25468375561888e-08,1.86095637053599e-20,6.227582778506251e-08,2.08288834865593e-08,1.54764003572451e-07,1.1180393822869801e-07,6.13382498988349e-06,7.82411325533152e-07,6.76448347284075e-06,2.2865358053700698e-05,1.5929995066597302e-07,1.7125829021620399e-06,4.66444782639441e-07,7.59541748249301e-07,3.42043088435708e-08,4.16558905505261e-07,1.38118742828051e-07,3.4689345433475696e-08,3.3705306494420895e-08,9.590568245937369e-08,1.65870454791504e-05
1,T-Stats,-6596403.79587099,83356836140.5566,-401541956.479468,-6070561.01525207,-2645786.31865361,-912706179.9044551,-24929927.3071663,-1.4409031337237,3.51575567805431,-1.13386208610195,-1.41650608965113,-1.2660150905220802,-8.015590341745911e+20,-0.36249850273078205,-0.0109445847367063,-1.17081019300653,-0.653330512312594,-0.853183934310883,-7.42773702396428,0.11547713526051101,-3.440168807517,-2.12161523070387,2.4487509854145495,-0.799750309678107,-0.902737518401554,-0.998616752535827,-1.68722833325422,3.7904506473314905,0.195563749544685,0.9715557630306059,-1.6757060019302699,0.391615461615542
